grid_cell,X_Axis_0_,X_Axis_1_,value_11,value_21,value_22,value_23,value_24,value_31,value_43,value_52,value_71,value_81,value_82,value_90,value_95,value_41,value_42
1,-337500,442500,0.6109441757829006,1.1543969200431945,0.8110709422977604,0.30459176487159023,0.005281938119160524,0.6238555800741818,0.05047185313864501,77.42088830461525,7.549650218320108,1.5188506502652708,1.259448800413165,7.131790224893188,1.5587586271655947,0,0
2,-307500,442500,0.104,0.5376,0.7216,0.2376,3.9999999999999996e-4,1.0336,0,85.5704,6.2592,4.66,0.0084,0.5048,0.3624,0,0
3,-292500,442500,0.0172,0.254,0.1924,0.1268,0,0.126,0,81.2012,13.315199999999999,4.6188,0,0.1144,0.034,0,0
4,-262500,442500,0.009600000000000001,0.5608,0.21559999999999999,0.0028,0,0.051199999999999996,0,14.265600000000001,81.7372,3.1124,0.0236,0.0208,3.9999999999999996e-4,0,0
5,-247500,442500,0,0.0872,0.027999999999999997,3.9999999999999996e-4,0,0.012,0.013200000000000002,9.6844,83.36200000000001,6.4796000000000005,0.2076,0.1,0.010799999999999999,0.014799999999999999,0
6,-232500,442500,7.999999999999999e-4,0.4384,0.26120000000000004,0.0031999999999999997,0,0.031599999999999996,0.0063999999999999994,36.3188,54.4844,6.597600000000001,0.0116,0.1052,0.0716,1.5648,0.1044
7,-217500,442500,0.0084,0.638,1.2512,0.0828,0.0208,0.136,1.1520000000000001,51.992799999999995,21.029600000000002,2.1456,0,0.0284,0.061200000000000004,15.6056,5.8476
8,-202500,442500,0,0.3936,0.6804,0.015200000000000002,0,0.11720000000000001,0.33999999999999997,29.7456,56.0256,1.6056000000000001,0,1.2836,7.426000000000001,0.062,2.3052
9,-187500,442500,0.024399999999999998,0.2684,0.2732,0.0472,0,2.3775999999999997,0.7248,28.118399999999998,59.3356,0.7832,7.999999999999999e-4,0.1408,3.9120000000000004,0,3.9936
10,-172500,442500,0.0568,0.3212,0.7776,0.0332,0.015200000000000002,5.7832,0.034,13.6004,72.9144,0.252,7.999999999999999e-4,0.0372,3.182,3.9999999999999996e-4,2.9916
11,-157500,442500,0.2096,0.0268,0.1792,0.008,0,10.0632,0.0196,5.0032,61.995599999999996,0.42519999999999997,0.048,0.0036,19.1576,7.999999999999999e-4,2.8596
12,-142500,442500,42.454,0,0,0,0,7.7616000000000005,0,0.1008,15.421999999999999,0.0015999999999999999,0,0,34.260000000000005,0,0
13,-127500,442500,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,-337500,427500,4.2929735412651135,0.22194965247357046,0.24531277378657787,0.029203901641259272,0,0.058407803282518544,0,43.42620174055254,11.062437941709012,1.0863851410548448,0.02336312131300742,25.85713451317096,13.696629869750598,0,0
21,-322500,427500,2.4490711287879137,1.6170002425729204,4.36631257122719,2.7433624268276495,0.21740025904957183,0.8146788654910271,0,68.2302703543853,6.373260225821658,1.9259374528012594,0,3.9209853037424884,7.341721169293014,0,0
22,-307500,427500,0.0268,0.2308,0.2888,0.0276,0,0.1632,0,95.3684,1.5712,1.5171999999999999,0,0.5528,0.2532,0,0
23,-292500,427500,0.002,0.2968,0.156,0.0184,0,0.1448,3.9999999999999996e-4,95.8148,1.048,2.3056,0.043199999999999995,0.1176,0.0524,0,0
24,-277500,427500,0.0012000000000000001,0.2752,0.024800000000000003,0.0015999999999999999,0,0.0036,0,61.565599999999996,37.8048,0.061200000000000004,0.234,0.025599999999999998,0.0024000000000000002,0,0
25,-262500,427500,3.9999999999999996e-4,0.6372,0.20400000000000001,0.0048000000000000004,0,0.012,3.9999999999999996e-4,21.6636,75.9168,1.536,0,0.0176,0.0028,0,0.0044
26,-247500,427500,3.9999999999999996e-4,0.5640000000000001,0.2416,0.0436,0.0031999999999999997,0.0424,0.0536,24.202,66.9752,7.8224,0,0.0348,0.0156,7.999999999999999e-4,3.9999999999999996e-4
27,-232500,427500,0.0012000000000000001,0.6812,0.72,0.2356,7.999999999999999e-4,0.22999999999999998,0.0048000000000000004,37.71,39.8832,20.2392,0.0996,0.1292,0.0436,0.021599999999999998,0
28,-217500,427500,0.0208,1.026,1.6260000000000001,0.33440000000000003,0.007600000000000001,0.1276,0.1252,24.9264,36.5292,34.7628,0.06520000000000001,0.11800000000000001,0.2396,0.031599999999999996,0.05959999999999999
29,-202500,427500,0.0136,0.328,0.5968,0.0392,0.0015999999999999999,0.3144,0.0392,6.206799999999999,80.5076,3.7488,0,0.0724,7.8828,3.9999999999999996e-4,0.2484
30,-187500,427500,0.10759999999999999,0.0448,0.10319999999999999,0.0116,0,2.7892,0.014799999999999999,3.3556000000000004,81.4508,0.3572,0,0.024800000000000003,11.563600000000001,0,0.1768
31,-172500,427500,0.0284,0.4352,0.6568,0.0044,0,0.42560000000000003,0.021599999999999998,19.7708,69.7168,0.9483999999999999,0,0.298,3.5756,7.999999999999999e-4,4.1175999999999995
32,-157500,427500,2.9128000000000003,0.046,0.104,0,0,12.282,0,7.7556,36.7556,0.031599999999999996,0.002,0.037599999999999995,37.8772,7.999999999999999e-4,2.1948
33,-142500,427500,14.680399999999999,0,0,0,0,9.478399999999999,0,0.1188,9.7648,0.0268,0,0,65.9308,0,0
34,-127500,427500,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,-322500,412500,19.620387305424945,0.13423029522815225,0.09498167089243521,0.1138210105735794,0,1.5102870644383914,0,47.996357727661646,3.575549676983822,0.7017654031226206,0.007849724867143406,5.352727386905089,20.892042733902176,0,0
42,-292500,412500,0.0364,0.7092,0.214,0.0468,0,0.2504,0,77.1052,1.006,20.3924,0.0552,0.1452,0.0392,0,0
43,-277500,412500,0.0012000000000000001,0.3216,0.074,0.0084,0,0.1508,0.0024000000000000002,91.862,0.6032,6.6124,0.21280000000000002,0.1464,0.0048000000000000004,0,0
44,-262500,412500,0.006,0.6992,0.1744,0.006,0,0.0028,0,73.9932,12.2104,10.823599999999999,1.9844,0.094,0.006,0,0
45,-247500,412500,0.0012000000000000001,0.9248,0.966,0.1408,3.9999999999999996e-4,0.12240000000000001,0.004,60.2468,13.2952,23.774,0.41559999999999997,0.0732,0.0356,0,0
46,-232500,412500,0,0.6756,0.7928,0.43160000000000004,0,0.14679999999999999,0.004,30.4456,52.82,14.6132,0,0.0412,0.0224,0.0068,0
47,-217500,412500,0.0392,0.8104,0.8696,0.0268,7.999999999999999e-4,0.0812,7.999999999999999e-4,8.7616,85.6568,2.6524,0.44799999999999995,0.0212,0.6292,7.999999999999999e-4,0.0012000000000000001
48,-202500,412500,0.0048000000000000004,0.5551999999999999,0.49959999999999993,0.0984,0,0.2664,3.9999999999999996e-4,20.045199999999998,74.9196,1.3164,0.0063999999999999994,0.1296,2.1572,0,7.999999999999999e-4
49,-187500,412500,7.999999999999999e-4,0.2716,0.2316,0.0232,0,0.4968,0,0.8336,93.2048,1.1272,0,0.013999999999999999,3.7963999999999998,0,0
50,-172500,412500,0.012799999999999999,0.5492,0.5244000000000001,0.0015999999999999999,0,0.426,0.0348,17.4896,59.8828,6.250799999999999,0.008,0.1936,7.0496,0,7.5768
51,-157500,412500,1.0212,0.2832,0.046,0,0,4.4568,0.0031999999999999997,18.974,24.6664,0.1852,0,0.42160000000000003,4.0912,0.004,45.8472
52,-142500,412500,29.858400000000003,0.052,0.0084,0,0,12.1124,0,0.7012,9.6772,0.012,0,0.0044,46.9472,0,0.6268
53,-127500,412500,87.21654809310385,0,0,0,0,5.361635482097336,0,8.330695279828056e-4,3.2681317582765455,0.0066645562238624445,0,0,4.146187040770423,0,0
60,-322500,397500,32.92024605893219,0.4609121397442566,0.5541706271633279,0.3658602198748184,0.008967162251833785,1.2267077960508617,0.10222564967090515,37.617245646442726,3.070356355027888,2.1198371563335066,0,3.993974066966768,17.55232339173945,0.003586864900733514,0.003586864900733514
61,-307500,397500,0.12042969314514188,0.5660195577821668,0.7378325866692358,0.3022785297943061,0.006422916967740899,0.3881850442378406,0.004817187725805675,83.96719495158726,3.6269409252211893,8.840342341474381,0.05339049729434623,1.1191932816288517,0.26655105416124736,4.0143231048380616e-4,0
62,-277500,397500,0.0012000000000000001,0.1112,0.1348,0.024800000000000003,0.0015999999999999999,0.2956,0.0044,91.226,0.5072,7.1332,0.096,0.44920000000000004,0.014799999999999999,0,0
63,-262500,397500,0.0015999999999999999,0.6923999999999999,0.726,0.036000000000000004,0,0.1296,3.9999999999999996e-4,61.4352,0.07519999999999999,27.3656,8.602799999999998,0.812,0.1232,0,0
64,-247500,397500,0.0048000000000000004,0.8996000000000001,0.8428,0.2096,0.0072,0.018000000000000002,0.002,67.3228,0.0852,14.9044,14.510000000000002,1.174,0.0196,0,0
65,-232500,397500,0.0012000000000000001,1.0132,0.8472000000000001,0.4348,0,0.19880000000000003,0.0084,68.108,2.9292,22.2124,3.092,1.0672,0.08760000000000001,0,0
66,-217500,397500,0.1444,1.1048,1.6808,0.5388000000000001,0.009600000000000001,1.3908,0.0484,34.342,14.757200000000001,44.6196,1.0052,0.2,0.1568,3.9999999999999996e-4,0.0012000000000000001
67,-202500,397500,0.05159999999999999,0.49959999999999993,0.2016,0.0156,7.999999999999999e-4,0.064,0.013200000000000002,55.9276,19.5416,21.016399999999997,1.5008000000000001,0.462,0.6992,0,0.006
68,-187500,397500,0.007600000000000001,0.3876,0.48960000000000004,0.0672,3.9999999999999996e-4,0.29359999999999997,0.27799999999999997,34.605599999999995,48.968,13.190399999999999,0.0956,0.11399999999999999,1.4291999999999998,0,0.0732
69,-172500,397500,0.0116,0.5836,1.11,0.059199999999999996,0,0.09759999999999999,0.0644,30.158800000000003,29.403200000000002,26.326,4.2208000000000006,0.3912,6.58,0,0.9936
70,-157500,397500,0.010799999999999999,0.2688,0.396,7.999999999999999e-4,0,2.8152,0.12240000000000001,34.708800000000004,16.3828,5.0144,6.986000000000001,0.5923999999999999,3.1612,0.0028,29.5376
71,-142500,397500,50.866,0.0688,0.1524,0.1328,0.0015999999999999999,3.0092,0.0015999999999999999,3.3160000000000003,19.442400000000003,0.0015999999999999999,0,0.0616,21.2708,3.9999999999999996e-4,1.6747999999999998
72,-127500,397500,60.48719157630049,0,0,0,0,18.4022211744984,0,0.02147833831002148,2.82990203782283,5.238619100005239e-4,0.011001100110011,0,18.247681911048247,0,0
82,-307500,382500,0.8023382428792482,1.0126654822625938,3.146885208321394,2.435096567138518,0.17135652472921084,0.715800332397272,0.3134850134678205,78.2451716430741,3.4580778268095593,4.224883947504155,3.05003152043097,2.3336580892887846,0.08653791048197604,0.002292394979654995,0.001719296234741246
83,-292500,382500,0.22296634754269115,1.7646077541836707,4.694499485305785,1.6087754346419723,0.08381581677699704,1.4248688852089495,0.12613059806247126,75.83988737758212,1.851678554136473,9.183935030535812,0.8137457939514274,2.24593839130594,0.13426805600198552,0.0016274915879028549,0.0032549831758057098
84,-277500,382500,0.0084,0.7536,1.1152,0.2404,0.048,0.9575999999999999,0.0268,79.6516,0.358,9.3776,3.1755999999999998,4.216,0.0712,0,0
85,-247500,382500,0.0012000000000000001,1.4512,2.0036,0.6,0.0176,0.0616,0.0056,32.1052,0.0104,9.254800000000001,53.9052,0.5772,0.0063999999999999994,0,0
86,-232500,382500,0.1864,1.8812,1.6596,0.2664,0.0028,0.1252,0.0504,28.5952,0.013200000000000002,15.6872,50.756,0.612,0.1608,0,0.0036
87,-217500,382500,0.3692,1.8204000000000002,2.3464,0.5632,0.0732,1.5612,0.23440000000000003,31.4448,0.3664,46.183600000000006,14.491599999999998,0.44200000000000006,0.1036,0,0
88,-202500,382500,2.2544,1.494,2.106,0.0624,0.004,1.0576,0.03,19.8188,0.078,23.558799999999998,47.272,1.0696,1.1916,0,0.0028
89,-187500,382500,3.5052,1.7968000000000002,3.3484,0.20479999999999998,0.010799999999999999,2.568,0.1432,14.512,0.216,11.7164,60.7236,0.4704,0.7176,0,0.0668
90,-172500,382500,0.1112,2.2763999999999998,5.4884,1.308,0.3096,0.0292,0.0212,3.7775999999999996,0.0444,7.3427999999999995,78.4272,0.42040000000000005,0.44279999999999997,0,7.999999999999999e-4
91,-157500,382500,0.3716,0.764,1.9512,0.0808,0.004,0.9328,0.012799999999999999,23.9648,7.3532,10.1612,41.910399999999996,1.7428,10.7372,0,0.013200000000000002
92,-142500,382500,41.7024,0.0696,0.42760000000000004,0.2756,0.0276,6.5047999999999995,0.002,3.826,13.8208,0.0332,0.0484,0.1052,33.150400000000005,0,0.0063999999999999994
93,-127500,382500,57.61740232657985,0,0,0,0,8.372825220289085,0,0.006542228037536034,0.4673604154314804,8.177785046920042e-4,0,0,33.535052031157356,0,0
102,-292500,367500,2.2595510628809277,7.400029730935039,15.784153411624796,6.879738367771666,0.3448788464397205,0.035677122045488334,1.7630444477478815,26.398097220157574,0.0029730935037906945,9.63579604578564,26.264308012486993,2.928497101233834,0.28244388286011596,0.02081165452653486,0
103,-277500,367500,1.156036036036036,1.6425225225225226,8.078558558558559,6.695495495495496,0.7163963963963964,0.596036036036036,0.3466666666666667,47.31315315315315,0.06918918918918919,6.288288288288288,23.364324324324322,3.576216216216216,0.13693693693693693,0.011531531531531532,0.008648648648648649
104,-262500,367500,0.05721281567071024,2.67339884134046,4.648641295650226,1.2582818551355504,0.07561693819415549,2.600182440866754,0.03600806580674071,48.00115225810582,0.20964696091924592,23.314022341004385,15.790337035495952,1.0206286208110618,0.3104695451781199,0.003200716960599174,0.0012002688602246903
105,-247500,367500,0.18439999999999998,6.3672,4.438000000000001,0.5952,0.0576,4.2436,0.0788,36.9272,0.0092,20.6648,25.196,1.1076000000000001,0.1276,0.002,7.999999999999999e-4
106,-232500,367500,0.42240000000000005,17.6084,19.786,4.2848,0.2396,0.2192,0.314,4.4836,0.0328,19.5992,32.6928,0.1552,0.1484,0.007600000000000001,0.006
107,-217500,367500,0.8276,10.734,27.1148,13.2648,1.8763999999999998,0.9184,0.25279999999999997,4.356,0.0044,12.264,28.104000000000003,0.12639999999999998,0.15280000000000002,7.999999999999999e-4,0.0028
108,-202500,367500,1.8584,7.5024,12.163599999999999,1.7572,0.26120000000000004,0.1164,0.1564,4.8672,0.0364,21.962,49.0552,0.12719999999999998,0.1336,0,0.0028
109,-187500,367500,0.3764,2.4596,3.9404000000000003,0.3604,0.07200000000000001,0.013999999999999999,0.2872,0.7000000000000001,0,6.7372000000000005,84.6804,0.1872,0.18159999999999998,0.0012000000000000001,0.0024000000000000002
110,-172500,367500,0.1596,2.1188,2.6464000000000003,0.3484,0.009600000000000001,0.0536,0.0084,0.6832,0,6.6304,87.1332,0.0696,0.13879999999999998,0,0
111,-157500,367500,0.7492000000000001,1.0348,2.3596,0.0808,0.0028,0.0416,0.2228,9.863199999999999,1.8752000000000002,9.5832,69.7128,1.524,2.9472,7.999999999999999e-4,0.002
112,-142500,367500,5.8716,0.1732,1.0076,0.1444,0.0031999999999999997,3.9232000000000005,0.0444,7.821599999999999,7.2684,4.312,16.1544,1.2608,51.9948,7.999999999999999e-4,0.0196
113,-127500,367500,69.78999999999999,0,3.9999999999999996e-4,0,0,3.788,0.0063999999999999994,0.2696,1.2208,0,0,0.0084,24.908,0.0036,0.0048000000000000004
124,-262500,352500,3.8691393013369475,0.335777216437681,2.34735999014232,0.1879120202082435,0,0.32653564167334115,1.5464235105662005,40.52738586655166,0.04928839874314583,6.992791571683815,35.777216437680984,7.473353459429487,0.5575750107818372,0.003080524921446614,0.006161049842893228
125,-247500,352500,4.021765482315546,5.453043486068834,18.625470283472062,7.3422586177482065,0.8772638705564386,3.7487990374341154,1.7356715064335677,21.76907397929406,0.06554786340902766,3.3555118569799496,28.010487658145443,4.2839569359516565,0.5755641156874893,0.09966866901920642,0.03591663748439871
126,-232500,352500,1.0314863464573023,8.061416219144627,32.18460982814293,26.802736298086227,5.113575289044058,0.00945923285621536,0.7154619760337436,2.4069447967769815,0.016768640063290867,3.1568039831969625,19.138607858902642,1.111459860605305,0.19348430842258693,0.016338674933462898,0.04084668733365724
127,-217500,352500,0.5348,6.8444,37.866,24.7756,5.2544,3.9999999999999996e-4,0.074,0.1936,0.0184,3.6592,20.4488,0.108,0.2184,0,0.004
128,-202500,352500,0.7484000000000001,13.6576,30.8048,9.0764,1.9071999999999998,0.0068,0.0604,0.35400000000000004,0.0056,9.0588,34.2436,0.0204,0.043199999999999995,7.999999999999999e-4,0.012
129,-187500,352500,0.9339999999999999,4.961200000000001,13.5684,3.7268000000000003,0.7088,0.0676,0.10239999999999999,0.5972,0.0036,13.0496,61.032799999999995,0.1448,1.0999999999999999,0,0.0028
130,-172500,352500,0.2376,10.5212,24.7332,12.649199999999999,3.4307999999999996,0.012,0.09920000000000001,0.462,0,9.4976,38.0756,0.2096,0.056400000000000006,0.01,0.0056
131,-157500,352500,1.3916,3.0804,8.3328,1.0916000000000001,0.2288,0.1452,0.5268,2.6364,0.0052,13.778000000000002,65.42999999999999,1.0368,2.2944,0.0063999999999999994,0.0156
132,-142500,352500,6.5388,0.9672000000000001,2.34,0.2088,0.025599999999999998,1.3732,0.2192,17.6244,2.3232,9.9988,34.7452,2.17,21.3052,0.0048000000000000004,0.15560000000000002
133,-127500,352500,76.742,0.1884,0.33999999999999997,0.086,0.0092,2.7516,0.0196,4.406000000000001,0.642,0.1148,0.4488,0.9048,13.3336,7.999999999999999e-4,0.012400000000000001
149,-232500,337500,7.002751171795395,1.0469737110250663,16.28286121866721,13.985123293254533,2.9014672916242104,0.2878540859995924,6.179947014469126,17.874974526187078,0.17322192785816182,4.047788873038517,27.63399225596087,2.234053393111881,0.17576930915019362,0.07132667617689016,0.10189525168127166
150,-217500,337500,0.5540123456790124,0.5262345679012346,10.656635802469136,6.181327160493827,1.0802469135802468,0.01080246913580247,0.8009259259259259,1.3827160493827162,0.004629629629629629,0.6705246913580247,69.75231481481482,8.07253086419753,0.2854938271604938,0.007716049382716049,0.013888888888888888
151,-202500,337500,1.2450359557797575,4.027583986261672,13.42438553182355,2.7771814961897605,0.24216485993345496,0.003354083932596329,0.48768380379950627,0.6842331222496512,0.026161854674251372,4.096678115273156,72.36301921219277,0.41926049157454115,0.17776644842760544,0.0254910378877321,0
152,-187500,337500,4.608277214273357,1.7191334490955805,6.38764120537974,0.4203322931817745,0.029474520558478087,0.012174258491545298,1.0822275048536845,0.3158899703332543,0.008329755810004677,7.788962432801297,76.35246400584364,0.9489514118936098,0.32357897569633554,0,0.002563001787693747
153,-172500,337500,3.257733134944215,3.3908376552687995,13.126482570438435,2.0512357328592277,0.2966329310090749,0.04183284924486953,0.5115016566759047,1.4161370215962084,0.0028522397212411045,16.07046933604613,57.06666159601828,2.0051245240324964,0.7211412761871259,0,0.04135747595799602
154,-157500,337500,1.9324000000000001,4.8656,15.159600000000001,4.2588,0.4376,0.1564,0.6208,7.922,0.32439999999999997,16.9008,42.430800000000005,1.7596,3.2135999999999996,0.01,0.007600000000000001
155,-142500,337500,2.032,1.8336000000000001,5.0976,0.7352,0.0812,3.0244,0.1476,14.9256,3.1052,9.790799999999999,21.0728,1.4516,36.7008,3.9999999999999996e-4,0.0012000000000000001
156,-127500,337500,54.5608,0.1784,2.0732,2.342,0.5332,9.3192,0.016,4.4056,1.4216,0.06319999999999999,0.0668,0.2176,24.7964,0.0024000000000000002,0.0036
157,-112500,337500,86.30750766768902,0.0660088011734898,0.5134017869049207,3.1344179223896518,0.7621016135484732,2.6710228030404055,0,0.026670222696359516,1.4508601146819577,0,0,0.0033337778370449394,5.064675290038672,0,0
171,-172500,322500,0.6493506493506493,0,0.2597402597402597,0,0,0,0,0.12987012987012986,0,0,95.97402597402598,1.2987012987012987,1.6883116883116882,0,0
172,-157500,322500,3.1655844155844153,5.5088004101162,21.785287081339714,20.107085896559582,3.9324162679425836,0.03275233538391433,2.0562770562770565,4.369588744588745,0.03844839371155161,4.369588744588745,31.155303030303028,2.361728184096605,1.0630268853953064,0.0035600364547732966,0.05055251765778082
173,-142500,322500,3.9380233991498397,6.52228271121308,19.353650030488208,15.666551147804192,2.6601508179174145,4.074013958772927,0.470264128761126,6.742061002732972,2.443004601745066,4.083226222489329,11.718876805713359,1.466065968581794,20.846475431770024,0.010528301390174463,0.004825471470496629
174,-127500,322500,12.818271673514733,0.01797106658280169,0.8617943293116265,0.3814767315531086,0.061264999714096664,14.076246334310852,0.5334139308440683,8.550143360099332,0.8830328625458467,0.055546933074114305,2.6319443877175925,2.517583054917946,56.59742360254536,0,0.013886733268528576
192,-142500,307500,1.0225348443402371,4.741435456558552,6.985150449394295,0.7750423342451479,0.006512960791976032,0,1.992966002344666,1.4784420997785592,0.003256480395988016,5.9561026442620815,74.82415005861665,1.6901133255177805,0.5080109417741305,0,0.01628240197994008
